,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
Kheda,0.0485749,-0.050192937,-0.09301818,-0.013438268,0.02738892,-27549.037,-0.036904845
Kheri,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Khordha,0.04369054,-0.03980027,-0.09434768,0.07148362,0.00095137494,-28565.21,0.019971546
Khunti,0.016224036,-0.033155687,-0.10611472,-0.029861653,0.022280488,-27879.596,0.021021435
Kinnaur,0.0035319494,-0.054730568,-0.10659444,-0.012801665,-0.0064400956,-38329.586,0.18712139
Kiphire,0.0012334887,-0.022826193,-0.1368443,-0.16113454,-0.030142613,-35277.848,0.26961237
Kishanganj,0.046440367,-0.030470083,-0.083417535,0.09820085,0.099206254,-18451.705,-0.044963542
Kishtwar,0.008672447,-0.06515491,-0.08113131,0.029873023,-0.04700566,-23997.424,0.0069392542
Kodagu,0.008151629,-0.064119495,-0.08174027,0.04685851,0.04877174,-28987.22,-0.07352791
Kodarma,0.017564671,-0.046354767,-0.09751106,-0.043985516,0.009554841,-27738.016,0.042235233
Kohima,0.00546241,-0.013037109,-0.12885216,-0.078690976,-0.06870676,-32962.22,0.11756406
Kokrajhar,0.008413509,-0.075251825,-0.07719813,-0.45054013,0.22439083,-26688.818,0.15039061
Kolar,0.024522288,-0.056959838,-0.0858154,0.077979095,0.036331855,-26033.262,-0.00981142
Kolasib,0.0038206875,-0.07044054,-0.08177351,-0.29970598,0.16861546,-31061.46,0.23639536
Kolhapur,0.09671714,-0.0311006,-0.09071779,-0.37165368,-0.19656548,-23305.055,0.21755776
Kolkata,0.034003828,-0.025160452,-0.11029006,0.017245058,-0.02712787,-30018.098,0.03640327
Kollam,0.05073646,-0.042199794,-0.09796017,-0.016088314,0.026977476,-29089.465,0.010124937
Koppal,0.02234914,-0.068756625,-0.062537365,0.123345695,0.053127225,-19961.043,-0.12365506
Koraput,0.041764803,-0.05589119,-0.08586709,-0.009893071,0.0063599003,-26379.166,0.031050926
Korba,0.036013257,-0.019767523,-0.10626169,-0.124959655,-0.024565129,-25726.57,0.10533966
Koriya,0.020665878,-0.024244625,-0.10850853,0.08745912,-0.014796425,-28158.492,0.0641842
Kota,0.034840003,-0.060898617,-0.05727501,-0.19766611,-0.26806745,-16649.025,0.016422391
Kottayam,0.031014778,-0.045653816,-0.097195335,0.036560636,0.020334357,-30395.031,-0.0071045626
Kozhikode,0.05543362,-0.039876293,-0.09148558,-0.006396735,0.06714741,-25663.615,0.025362024
Krishna,0.08555931,-0.06395193,-0.072222404,-0.017499229,0.35222778,-23609.512,0.054019377
Krishnagiri,0.037495714,-0.045592546,-0.0702188,0.08360874,0.14335577,-20217.686,0.19078636
Kulgam,0.011487894,-0.09196619,-0.08425256,0.12131487,-0.08313318,-28945.176,0.21416955
Kullu,0.0077010924,-0.044691686,-0.11372924,0.06948649,0.08671364,-36734.168,0.23636085
Kupwara,0.018800404,-0.05914885,-0.08480266,0.13146615,-0.022814453,-23956.043,0.043927897
Kurnool,0.13309632,-0.07868148,-0.073233366,-0.17821465,0.52879816,-23561.488,0.06950239
Kurukshetra,0.025710713,-0.025051067,-0.10435817,-0.06732549,-0.04583975,-24747.846,0.048227135
Kurung Kumey,0.0014111468,-0.04523196,-0.122983344,0.393449,-0.09293419,-34051.12,0.38265514
Kushinagar,0.052561883,-0.056333955,-0.067093864,-0.1337764,-0.09336436,-19035.51,0.09384429
Lakhimpur,0.007890854,-0.07148528,-0.0833096,-0.2728861,0.121443324,-27023.49,0.13753274
Lakhisarai,0.018055134,-0.050807796,-0.08785116,-0.065383196,0.05405189,-25172.451,0.01659657
Lakshadweep,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Lalitpur,0.02812972,-0.08131744,-0.05341028,-0.15538155,-0.14426127,-17454.176,0.04511438
Latehar,0.016210264,-0.049870983,-0.09129206,-0.14104423,0.06627818,-26438.973,0.0794961
Latur,0.094411336,-0.017801689,-0.105475955,-0.1859237,-0.14338389,-23762.846,0.12693505
Lawangtlai,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Leh (Ladakh),0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Lohardaga,0.016662847,-0.03656674,-0.11330073,-0.033956017,0.024472035,-31824.746,0.056830887
Lohit,0.0027148728,-0.04767554,-0.12674357,0.06070251,-0.006988478,-38937.113,0.24843822
Longleng,0.0031761033,-0.026018988,-0.1379217,-0.14370726,-0.08537739,-40124.883,0.17465697
Lower Dibang Valley,-6.963696e-05,-0.062458705,-0.10236829,0.05834544,0.061817165,-31634.049,0.29099947
Lower Subansiri,0.0018504375,-0.071107104,-0.058000617,0.052622996,-0.23046324,-20614.654,0.06994671
Lucknow,0.08032497,-0.061519567,-0.06787794,-0.1268538,-0.048140474,-20937.248,0.122073084
Ludhiana,0.07736192,-0.044586044,-0.09609845,0.010565958,-0.01772317,-28189.332,0.04068368
Lunglei,0.0078217555,-0.08034263,-0.09793424,-0.2369622,0.2252826,-35946.64,0.14709334
Madhepura,0.0447615,-0.04958494,-0.08677654,-0.02963565,0.05417624,-23474.639,-0.047989402
Madhubani,0.092218384,-0.04728262,-0.083299495,-0.009694502,0.086680576,-22250.125,-0.023376938
Madurai,0.076377094,-0.035126787,-0.090198465,0.10446941,0.0779527,-23787.668,0.14679654
Maharajganj,0.035349768,-0.06335418,-0.06317164,-0.11746654,-0.09374791,-18494.977,0.09667249
Mahasamund,0.036140524,-0.024841191,-0.11065168,0.2951136,-0.029105686,-24664.686,0.018878976
Mahbubnagar,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Mahendragarh,0.016373882,-0.03900925,-0.09297449,0.012400024,-0.061946053,-23177.271,0.05445939
Mahesana,0.041945532,-0.050893057,-0.0889828,0.014498316,-0.02466469,-27089.232,-0.04219122
Mahoba,0.016038373,-0.09190522,-0.051389433,-0.27345562,-0.07057738,-18537.703,0.13141552
Mainpuri,0.026229229,-0.080382474,-0.06865661,-0.28267545,-0.12388506,-22928.223,0.18528685
Malappuram,0.08507898,-0.04241374,-0.0788404,-0.06824998,0.04468408,-21629.61,-0.023445068
Maldah,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Malkangiri,0.017275896,-0.058692694,-0.085511535,-0.015971467,0.1285481,-26634.316,0.14503875
Mamit,0.0071613044,-0.09188353,-0.095744215,-0.38263834,0.18957905,-36915.04,0.2370836
Mandi,0.022180503,-0.032858323,-0.113896064,-0.010632329,0.05643422,-33918.93,0.22788562
Mandla,0.02675938,-0.078787945,-0.07101619,0.014777542,0.026275417,-22810.732,-0.066141196
Mandsaur,0.039819248,-0.06564157,-0.07797469,0.004665824,0.02097338,-22701.316,-0.087484255
Mandya,0.025459148,-0.05804776,-0.08650144,0.12550095,0.049655948,-26822.713,-0.02756769
Mansa,0.022994839,-0.035753842,-0.10926767,0.108893186,-0.007790481,-28465.805,0.074288115
Marigaon,0.009207813,-0.06759716,-0.08024324,-0.45984992,0.15739653,-25598.115,0.16013207
Mathura,0.043507095,-0.08402938,-0.06812229,-0.3227939,0.0053224815,-23080.385,0.23059216
Mau,0.029312113,-0.05267799,-0.07274631,-0.25506485,-0.011161825,-21164.66,0.10950245
Mayurbhanj,0.058921844,-0.047369067,-0.08697478,0.13599434,0.044541314,-25018.342,0.06313554
Medak,0.04516088,-0.038125247,-0.07086882,0.06634435,0.0354605,-20419.48,0.027039383
Meerut,0.061971348,-0.072129644,-0.062228892,-0.28189683,0.055963714,-20061.71,0.18677619
Mirzapur,0.039137244,-0.08905039,-0.05469742,-0.32488763,-0.04897249,-19158.566,0.16784497
Moga,0.023910545,-0.034946695,-0.09867883,0.033276994,0.008655379,-26384.328,-0.0035128705
Mokokchung,0.003712051,-0.017417168,-0.13072903,-0.0832948,-0.06278915,-35975.848,0.16373868
Mon,0.004192565,-0.022961397,-0.12649147,-0.0018838459,-0.013860076,-33013.535,0.27032515
Moradabad,0.05481768,-0.06577539,-0.07129723,-0.2709091,0.14051001,-23172.277,0.2302031
Morena,0.0616317,-0.09534491,-0.058397766,-0.04000247,0.13039914,-19505.988,-0.0950744
Muktsar,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Mumbai,0.21134599,0.008029244,-0.032660365,-0.039250813,-0.107585914,-2330.7,0.10375937
Munger,0.018911874,-0.04333768,-0.0974711,-0.051241767,0.0598575,-27292.389,0.015704645
Murshidabad,0.08015068,-0.038147185,-0.07353995,0.033641454,-0.04132568,-20054.4,-0.026048264
Muzaffarnagar,0.06571857,-0.08407294,-0.06211091,-0.44666937,-0.021448588,-21091.918,0.18413548
Muzaffarpur,0.0808192,-0.044414297,-0.08785612,-0.05245974,0.08859464,-24077.576,-0.018812943
Nabarangapur,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Nadia,0.048570085,-0.042231753,-0.085740305,-0.030393872,-0.06763325,-24633.344,0.0016685403
Nagaon,0.031054089,-0.016437246,-0.08444354,-0.17516345,0.062355854,-20023.656,0.09184187
Nagappattinam,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Nagaur,0.07256387,-0.047426164,-0.05855949,-0.21582396,-0.31570685,-15074.726,0.08681173
Nagpur,0.12409556,-0.008163385,-0.08827367,-0.11630674,-0.10863943,-18419.848,0.103252575
Nainital,0.02034032,-0.049054854,-0.08143318,0.095727526,-0.03750328,-24539.941,0.10636372
Nalanda,0.04571919,-0.05045213,-0.09025607,0.04261825,0.03924232,-25549.771,-0.014473478
Nalbari,0.0026627767,-0.069566496,-0.08330569,-0.58271044,0.16331924,-29667.238,0.41770437
Nalgonda,0.05459521,-0.03917408,-0.070865534,0.058735963,0.094677866,-19165.814,0.018453006
Namakkal,0.04166312,-0.022930073,-0.10736291,0.13900186,0.11334229,-28223.805,0.13218896
Nanded,0.11799473,-0.005838444,-0.08573573,-0.18870261,-0.13069315,-17115.086,0.1425938
Nandurbar,0.07327696,-0.0186024,-0.09075872,-0.0954784,-0.07546231,-19974.988,-0.01871952
Narayanpur,0.007403782,-0.024146313,-0.12479612,0.15199171,0.0065964228,-28830.164,0.059782498
Narmada,0.017173056,-0.047910973,-0.09626409,0.014384244,-0.023452265,-27456.129,-0.02235496
Nashik,0.19115345,0.012852655,-0.036773086,-0.17056096,-0.2269031,-293.04855,0.07299678
Navsari,0.018995473,-0.06699386,-0.079244144,-0.021148754,-0.026817482,-28205.248,0.025273504
Nawada,0.03401522,-0.0491549,-0.09129353,-0.04955501,0.06136857,-25898.992,-0.006829696
Nayagarh,0.023855958,-0.051583894,-0.08673309,0.03840727,-0.055797935,-26456.943,0.060948245
Neemuch,0.024180554,-0.0843252,-0.07715123,-0.08831497,0.10284232,-26507.041,0.017046228
New Delhi,0.0013846954,-0.05877953,-0.08914565,-0.103401,0.05817017,-28493.22,0.10016628
Nicobar,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Nizamabad,0.040788848,-0.04653924,-0.07563982,0.1131501,0.055425473,-22773.018,0.035007652
North,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
North & Middle Andaman,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
North 24 Parganas,0.08952341,-0.036250785,-0.081405595,0.023284383,-0.04372734,-23054.719,-0.028056271
North Goa,0.013784431,-0.046465185,-0.101302706,0.04211444,0.052175447,-32355.076,0.10896718
North Tripura,0.01735252,-0.038983975,-0.107235715,-0.027218213,0.10973063,-29264.984,0.08538455
Nuapada,0.01752308,-0.05820701,-0.078987256,0.1087191,-0.09670283,-22913.012,0.028711285
Pakur,0.017646872,-0.062118106,-0.09448953,-0.049603704,0.072704375,-29527.578,0.033195984
Palakkad,0.063682534,-0.038197357,-0.09991504,-0.091393225,0.05700913,-29178.004,0.016626647
Palamu,0.04624294,-0.053622175,-0.091685705,-0.034378078,0.024607059,-26960.8,0.041692026
Pali,0.057081394,-0.047412798,-0.0691983,-0.1353982,-0.27386767,-18095.346,0.030900735
Palwal,0.018953513,-0.052199565,-0.07697529,-0.042471882,-0.04773919,-20761.504,0.07702558
Panch Mahals,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Panchkula,0.015736794,-0.05975078,-0.07920795,-0.04393594,-0.10070532,-25632.91,0.04881159
Panipat,0.029861515,-0.034147028,-0.097158365,-0.03821532,-0.04159771,-25611.6,0.045189284
Panna,0.04317694,-0.07984619,-0.075028956,-0.034576498,0.03632168,-22935.959,-0.09979559
Papum Pare,0.0051913373,-0.06773056,-0.086619385,-0.061686028,-0.17483817,-28993.13,0.15102676
Parbhani,0.06600021,-0.028534187,-0.09447731,-0.30345806,-0.1844551,-23063.996,0.21497059
Pashchim Champaran,0.20087449,-0.035116207,-0.07263105,-0.0100509515,0.086009055,-17901.799,-0.031750586
Pashchim Medinipur,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Pashchimi Singhbhum,0.11386488,-0.04134673,-0.10086219,-0.11193244,0.11555607,-28267.463,0.042825628
Patan,0.0308435,-0.05601342,-0.08991139,0.08762747,-0.0153532075,-26475.87,-0.024636187
Pathanamthitta,0.024670944,-0.03908931,-0.11079174,-0.011464321,0.0049486817,-34410.598,0.039093424
Patiala,0.049273755,-0.05767428,-0.083478265,0.13408086,-0.018048024,-24197.533,-0.08022707
Patna,0.08340704,-0.049007647,-0.08985575,-0.034488875,0.058250923,-25661.943,-0.017218154
Perambalur,0.018829884,-0.047539722,-0.09068551,-0.08006803,0.18422802,-26852.092,0.07843945
Peren,0.0024198664,-0.041911792,-0.10240377,0.09712534,-0.06098885,-30206.691,0.0739203
Phek,0.003887449,-0.014585123,-0.13429873,-0.021346584,-0.058969725,-34682.406,0.13481759
Pilibhit,0.051112942,-0.091746464,-0.066262014,-0.52304435,-0.15602137,-21983.56,0.2648286
Pithoragarh,0.011394841,-0.05900858,-0.091368295,0.08464015,-0.072278485,-29788.547,0.10097247
Porbandar,0.014060993,-0.051043138,-0.094706826,-0.019773783,0.0108771315,-29016.03,-0.0073324963
Prakasam,0.08013905,-0.07604831,-0.07897194,-0.06309187,0.38680294,-26237.55,0.024672935
Pratapgarh,0.06908732,-0.06887915,-0.05472229,-0.30148906,-0.1904062,-17030.924,0.109708786
Puducherry,0.016942257,-0.04001525,-0.095909506,-0.01850616,-0.06579387,-27223.992,0.08942342
Pudukkottai,0.04473594,-0.034312792,-0.09249047,0.09971641,0.069952734,-24682.562,0.020486044
Pulwama,0.009344437,-0.058000594,-0.116649345,0.42197654,0.061068475,-34977.996,0.35844913
Punch,0.015428045,-0.06385872,-0.089887574,0.24382545,-0.044230875,-25638.371,0.1965246
Pune,0.2122987,-0.01633241,-0.040340256,-0.05607278,-0.1445716,-6790.613,0.09680939
Purba Champaran,-0.0021649865,0.010240047,-0.035376783,-0.04584572,0.021349555,-25900.943,-0.028868133
Purba Medinipur,0.05751308,-0.043351993,-0.07612187,-0.049049355,-0.030367997,-23028.947,-0.028099643
Purbi Singhbhum,0.007925086,-0.00873329,-0.1342629,-0.10611117,0.06208983,-34788.8,0.059687003
Puri,0.027180443,-0.05171723,-0.08981512,0.090082936,0.0013869044,-28169.44,0.066650376
Puruliya,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Rae Bareli,0.04613869,-0.07636283,-0.074154034,-0.41746917,-0.019884128,-25225.387,0.25419217
Raichur,0.039819602,-0.05740213,-0.06037372,0.08087094,-0.055471454,-16627.904,-0.09257737
Raigarh,0.051858567,0.009834051,-0.10106533,0.14829928,0.02506907,-17291.955,0.034255337
Raipur,0.065229066,-0.008934234,-0.09930897,0.1976581,-0.002491837,-21773.098,0.030186832
Raisen,0.0480916,-0.0801383,-0.06791766,-0.06064857,0.0850865,-20482.738,-0.12167598
Rajgarh,0.07226436,-0.06332294,-0.092199095,-0.025646148,0.08235913,-25343.227,-0.058455776
Rajkot,0.070227966,-0.0531114,-0.09133585,-0.01814377,0.03682442,-28057.846,0.0013236192
Rajnandgaon,0.05295959,-0.018605711,-0.097382925,0.25933397,-0.076614484,-20456.83,0.07278126
Rajouri,0.018258959,-0.05499611,-0.089386895,0.17943996,-0.04628149,-25738.775,0.17135018
Rajsamand,0.02201182,-0.055922713,-0.074015275,-0.31120706,-0.24769986,-23026.686,0.12754498
Ramanagara,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Ramanathapuram,0.035878684,-0.040081125,-0.09223637,0.07478366,0.07997444,-26390.22,0.051973045
Ramban,0.007655035,-0.08758225,-0.10157314,0.46225443,0.015803138,-31530.178,0.5855996
Ramgarh,0.014549366,-0.049716506,-0.09118897,-0.09084332,0.046804264,-28323.281,0.031556297
Ranchi,0.07478023,-0.035774346,-0.11491225,-0.068157494,0.008480946,-30420.594,0.06785407
Rangareddy,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Ratlam,0.050072897,-0.08044342,-0.05995064,0.4222666,0.12929967,-17276.258,-0.08370567
Ratnagiri,0.042238813,-0.024034321,-0.084655635,-0.303475,-0.25489932,-21840.121,0.20006658
Rayagada,0.023336416,-0.061630927,-0.081514746,0.102716245,0.007451855,-25169.871,-0.0007554585
Reasi,0.010225111,-0.07002531,-0.083062656,0.08288547,-0.06809025,-27207.402,0.055192053
Rewa,0.080583744,-0.08565742,-0.06374742,-0.121412754,0.12305137,-20266.756,-0.09331684
Rewari,0.01930333,-0.05828158,-0.079365596,-0.09703633,-0.13946952,-24335.174,0.0730796
Ri Bhoi,0.0022084382,-0.06463681,-0.0742417,-0.037004728,-0.0819168,-27166.48,0.09225034
Rohtak,0.029270126,-0.028418783,-0.10729738,-0.034850575,-0.043121453,-27637.96,0.054314896
Rohtas,0.04098573,-0.044149093,-0.08529115,-0.03093379,0.068480626,-22953.91,-0.009795775
Rudraprayag,0.0074749324,-0.047174506,-0.09697521,0.16288479,0.009664648,-28406.893,0.100107364
Rupnagar,0.018533157,-0.041129507,-0.09886067,0.046686206,-0.03929027,-27633.152,0.003384701
Sabar Kantha,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Sagar,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Saharanpur,0.066118106,-0.063566394,-0.05346054,-0.28515494,-0.08611599,-16835.559,0.17445834
Saharsa,0.043613475,-0.03281742,-0.093256205,0.008163518,0.05205193,-22737.838,-0.04233991
Sahibganj,0.026189927,-0.060735524,-0.086399645,-8.409415e-05,0.040824626,-26256.545,0.039483204
Sahibzada Ajit Singh Nagar,0.025705611,-0.05832275,-0.07620147,-0.028672164,-0.04777327,-25142.08,-0.041093074
Saiha,0.0010422366,-0.06752043,-0.12713511,-0.6189336,0.34124756,-42512.66,0.44980088
Salem,0.08793348,-0.03610444,-0.090886794,0.06142868,0.18920647,-24706.8,0.10735373
Samastipur,0.079251125,-0.05073393,-0.08745231,-0.050887603,0.09149506,-24597.148,-0.018428834
Samba,0.0042117573,-0.068993196,-0.097387694,0.22854516,-0.009097769,-32421.988,0.2811375
Sambalpur,0.0188138,-0.054467946,-0.08051219,0.046777077,0.011323064,-25275.941,0.041463125
Sangli,0.074638605,-0.023907732,-0.092815004,-0.4114945,-0.28496924,-23179.223,0.27322724
Sangrur,0.030869812,-0.046967693,-0.08749716,0.16183795,-0.0018820055,-24449.146,0.03359448
Sant Kabir Nagar,0.03140676,-0.06595469,-0.079569645,-0.28269544,-0.095978566,-24225.125,0.2173354
Sant Ravi Das Nagar(Bhadohi),0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Saraikela-Kharsawan,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Satara,0.07111202,-0.03679939,-0.093611374,-0.57514626,-0.36892462,-25598.049,0.37167454
Satna,0.06689069,-0.07537921,-0.06499612,0.011344084,0.07928084,-19149.473,-0.094156675
Sawai Madhopur,0.028930655,-0.058966327,-0.06825208,-0.2365065,-0.27855542,-20021.943,0.104155205
Sehore,0.05020416,-0.061708517,-0.087470986,0.07948389,0.03977131,-24757.977,-0.071519814
Senapati,0.00980349,-0.068641804,-0.068620756,-0.028967366,-0.2085295,-24532.477,0.04988721
Seoni,0.03504409,-0.06526992,-0.07624573,-0.043949712,0.061657235,-22561.145,-0.037085738
Serchhip,0.0021764426,-0.053000037,-0.10976417,-0.40819296,0.24435936,-36485.387,0.23265803
Shahdol,0.03878575,-0.06235045,-0.08570337,0.0592445,0.023946133,-25634.96,-0.052997123
Shahid Bhagat Singh Nagar,0.012969363,-0.04255691,-0.09697176,0.0036925245,0.017114557,-30281.441,-0.008297136
Shahjahanpur,0.054652862,-0.09936684,-0.04922105,-0.55287623,-0.08254739,-17313.479,0.35217676
Shajapur,0.05486325,-0.063275136,-0.08629627,-0.05141021,0.07958666,-25200.836,-0.041925374
Sheikhpura,0.014203742,-0.04187428,-0.091899544,-0.07143193,0.00046619287,-25897.283,0.0103273
Sheohar,0.011690271,-0.04173939,-0.091845855,-0.01791369,0.01953227,-24611.408,-0.019279717
Sheopur,0.02397311,-0.08291525,-0.06315253,0.036028057,0.07299792,-18847.059,-0.14936993
Shimla,0.014454686,-0.043926615,-0.10973932,0.013863418,-0.003581662,-35616.92,0.24763298
Shivpuri,0.0733975,-0.06985686,-0.080495976,-0.102255546,0.13414282,-23452.1,-0.12106527
Siddharth Nagar,0.036194455,-0.06027181,-0.073929615,-0.2744744,0.010317611,-22473.162,0.19861327
Sidhi,0.05285583,-0.08817538,-0.073676385,-0.1746892,0.22053857,-24038.389,-0.07136323
Sikar,0.060154516,-0.04679158,-0.07778843,-0.14329319,-0.20132309,-21403.582,0.08060899
Simdega,0.025117163,-0.027614035,-0.11726147,-0.021828381,0.057080913,-28730.324,0.06334475
Sindhudurg,0.015762554,-0.036657587,-0.10990633,-0.17938967,-0.10591922,-33061.027,0.19235496
Singrauli,0.047761265,-0.1074302,-0.061067797,-0.13523379,0.17694151,-22280.025,-0.06971813
Sirmaur,0.012683316,-0.048086572,-0.10424192,0.0060638865,0.04237089,-32468.72,0.14910415
Sirohi,0.024446178,-0.054516014,-0.08187647,-0.27584356,-0.29908353,-23494.258,0.20259173
Sirsa,0.03560406,-0.035905585,-0.08443206,-0.13332398,-0.09646407,-21041.205,0.04981718
Sitamarhi,0.07011018,-0.04973727,-0.07998712,-0.002666998,0.048728555,-21024.361,-0.04553563
Sitapur,0.10219473,-0.1149109,-0.045193534,-0.49423283,-0.0470164,-16452.8,0.26898015
Sivaganga,0.032190457,-0.039212298,-0.09373904,0.09838899,0.0983341,-27959.643,0.079467565
Sivasagar,0.0046856576,-0.10191695,-0.047105715,-0.14522786,-0.01919339,-23013.41,0.035521224
Siwan,0.04644935,-0.042448077,-0.08577401,-0.027122399,0.039376132,-23391.76,-0.024434185
Solan,0.0123525,-0.038924504,-0.11262399,0.027818203,0.0018806548,-33949.086,0.19988467
Solapur,0.11801643,-0.028937165,-0.08168991,-0.36126924,-0.30421495,-20344.805,0.29539394
Sonbhadra,0.04042982,-0.09314791,-0.050824087,-0.31601495,-0.04671965,-18637.094,0.07591862
Sonipat,0.032413654,-0.038911663,-0.094746105,-0.07890118,-0.10155352,-25144.416,0.08245795
Sonitpur,0.009119836,-0.06819589,-0.07594021,-0.2455564,0.10295922,-27419.922,0.09546766
South,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
South 24 Parganas,0.095886,-0.03592034,-0.07551615,0.013449841,-0.024043234,-20571.482,-0.05080276
South Andaman,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
South Garo Hills,0.0025124867,-0.054777462,-0.09324182,0.005296085,-0.10477383,-33035.54,0.09920884
South Goa,0.012162078,-0.0562318,-0.09712567,0.016598199,0.07345141,-33315.246,0.12221816
South Tripura,0.02155643,-0.029657066,-0.114881344,-0.020911131,0.08154646,-30862.229,0.07773798
Sri Potti Sriramulu Nellore,0.063058,-0.073232904,-0.08007718,0.01226465,0.30616218,-27781.822,0.00021027993
Srikakulam,0.07199295,-0.061438218,-0.0961695,-0.21965119,0.4658381,-29625.771,0.17504635
Srinagar,0.02209254,-0.033874888,-0.10363177,0.2056839,-0.017198164,-27826.465,0.14335774
Subarnapur,0.012582064,-0.05511763,-0.089621834,0.104985885,-0.01427957,-27628.256,0.051363442
Sultanpur,0.032841448,-0.06510388,-0.06287283,-0.24839135,-0.11254445,-20370.672,0.18575642
Sundargarh,0.04392969,-0.04904717,-0.0921853,0.01295008,-0.00063629466,-29054.732,0.004672452
Supaul,0.04246159,-0.043831754,-0.088549025,0.010351944,0.048856325,-23432.938,-0.036249574
Surat,0.111368835,-0.054066,-0.077780806,0.03260086,0.016823355,-24224.953,0.0024105636
Surendranagar,0.040953472,-0.055618595,-0.092857026,-0.04939468,0.07025814,-29037.748,-0.0059759114
Surguja,0.025410349,-0.017745757,-0.104705274,0.23393503,-0.022591388,-23961.467,0.037756152
Tamenglong,0.0034529022,-0.053468052,-0.08122917,0.022425171,-0.11852531,-26672.713,0.060574662
Tapi,0.016765628,-0.049059976,-0.105128616,0.010155133,-0.014180925,-31661.707,0.056762252
Tarn Taran,0.033738103,-0.03274208,-0.11270473,0.038267486,-0.017314717,-30279.824,0.03601752
Tawang,0.00054781436,-0.081912205,-0.104837105,0.30855647,0.05593324,-36452.066,0.5045863
Tehri Garhwal,0.016002715,-0.039208256,-0.085585035,-0.027228812,-0.05231216,-24169.072,0.10835679
Thane,0.18745926,0.029099023,-0.048209954,-0.07512113,-0.096135154,-2328.1123,0.07852073
Thanjavur,0.061863884,-0.034869786,-0.098287985,0.043761007,0.004897824,-27764.562,0.11615643
The Dangs,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
The Nilgiris,0.016151888,-0.052716877,-0.09309076,0.1510758,0.064454444,-30469.852,0.07281408
Theni,0.03183791,-0.044522736,-0.09581342,0.103057854,0.08994976,-26908.496,0.060532894
Thiruvallur,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Thiruvananthapuram,0.059342388,-0.038327333,-0.10066942,-0.013967739,0.0332946,-29245.793,0.025873413
Thiruvarur,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Thoothukkudi,0.00014525649,0.02264854,0.032672912,0.019596037,-0.0036370764,-35599.246,-0.006584435
Thoubal,0.019108115,-0.068692856,-0.065150104,0.07740534,-0.035379283,-20243.246,0.07783229
Thrissur,0.05582945,-0.042365123,-0.092857234,-0.05739856,0.091620974,-28015.297,-0.013413214
Tikamgarh,0.07220947,-0.081837334,-0.08161503,0.021278922,0.11383381,-24885.713,-0.11534443
Tinsukia,0.007839142,-0.08444007,-0.065938845,-0.06499822,0.003645113,-26093.443,0.020727515
Tirap,0.00068939803,-0.05733773,-0.10642484,-0.16952503,0.04667384,-38260.22,0.38905853
Tiruchirappalli,0.069992945,-0.024663705,-0.09782104,0.10869379,0.053016264,-24991.549,0.049432855
Tirunelveli,0.07145655,-0.019877747,-0.089139946,0.08660273,0.06229867,-23351.516,0.17047685
Tiruppur,0.05151064,-0.036493897,-0.08763192,0.11565831,0.06551012,-24485.303,0.0814039
